region_code,region_name,reporting_year,poverty_line,reporting_pop,headcount,poverty_gap,poverty_severity,watts,mean,spr,pg,pop_in_poverty,estimate_type
NAC,North America,2008,3,337404564,0.009020429691637008,0.006550022957370221,0.005370168462711333,0.0151290292421971,75.50138741140019,0.19137134729718713,1.2288956249386567,3043534,actual
NAC,North America,2009,3,340465163,0.007977323528401074,0.005518610061281637,0.0044164159852177485,0.012336244698765606,76.46042226622878,0.1852725354294178,1.08691567240669,2716001,actual
NAC,North America,2010,3,343447854,0.009321858379114636,0.00662954274136275,0.005400455629340527,0.015226523967894113,74.73302204188484,0.1873746084398303,1.2280970449953663,3201572,actual
NAC,North America,2011,3,346242415,0.008894900697247965,0.006237855723636172,0.005062025118294302,0.014368796728701642,75.60551909304301,0.1884153765577796,1.2054617638762302,3079792,actual
NAC,North America,2012,3,349116140,0.00896797254217508,0.006448311783543245,0.005268536939998182,0.014874153364532213,75.94192490923945,0.1925307683569141,1.2178465336263276,3130864,actual
NAC,North America,2013,3,351870848,0.009050225346316738,0.006351517619140438,0.005137509288640798,0.014557007230642927,75.65226213959288,0.1910588906975891,1.2042378031144108,3184510,actual
NAC,North America,2014,3,354755155,0.010964028791913848,0.007936869435704772,0.006479476291661354,0.01817001564637042,76.11802576366176,0.18200456701665124,1.3278489336475616,3889546,actual
NAC,North America,2015,3,357583083,0.01023927550440348,0.007179803733644277,0.005782777179500299,0.016268687442379148,78.80511584475065,0.1836201121617378,1.2380768156526336,3661392,actual
NAC,North America,2016,3,360527592,0.009751880986963732,0.006947407612123113,0.005654802781051185,0.01591725772151056,82.06430231611549,0.18809553369995602,1.2041695378409372,3515822,actual
NAC,North America,2017,3,363217262,0.010752505504266097,0.007838283603933053,0.006428766685681873,0.018083683690619242,83.26981074520741,0.1925005031934578,1.278929053359139,3905496,actual
NAC,North America,2018,3,365666028,0.009187901899513904,0.0065079036092992515,0.005302281287471511,0.014966971335390995,86.78432898871863,0.1896705512930504,1.1484593709739335,3359704,actual
NAC,North America,2019,3,367908829,0.00822759891649986,0.005839234832515985,0.004729504237546217,0.01327952826928697,92.02724099694905,0.18998279372278942,1.0427897074721575,3027006,actual
NAC,North America,2020,3,369670740,0.002556336863988712,0.0011422562402850181,6.895027365722621e-4,0.0019032275985821749,94.60420945582722,0.17358751336256692,0.5786041166505146,945003,actual
NAC,North America,2021,3,370404272,0.0023137523899834363,0.0010350456615664785,6.206673152249338e-4,0.0017171872080230391,94.98773916042371,0.16058970166197217,0.5530281163109865,857024,actual
NAC,North America,2022,3,373018004,0.011131819439334747,0.00819698183482758,0.006784716288275436,0.019167217280851565,88.93866212939291,0.18600329170532476,1.2929601456078463,4152369,actual
NAC,North America,2023,3,376954413,0.010036884524945456,0.007283512799974394,0.005938394188170013,0.016662701262181327,91.50161838720399,0.18915794574329603,1.1733493304472895,3783448,actual
NAC,North America,2024,3,381464223,0.009972452871683895,0.00722243997600156,0.0058798951776546085,0.016456027632174988,92.8114119925945,0.18883181273778327,1.15338378672152,3804134,actual
NAC,North America,2025,3,383507187,0.009924527889229996,0.007197049043983577,0.005855007298169771,0.016365726071618344,93.52704953290771,0.1887145203166688,1.143795233196876,3806128,nowcast
SAS,South Asia,1981,3,825638560,0.5589743148760681,0.16568484389770904,0.06699367578446558,0.21667319179183064,3.2519624205665387,0.5594982707958795,11.832523419862012,461510748,actual
SAS,South Asia,1982,3,845349352,0.5423117452094236,0.1580566162694085,0.06309334845788953,0.2057685479632561,3.2969170575883604,0.5429735879739576,11.60943643589624,458442882,actual
SAS,South Asia,1983,3,865442337,0.5086133827159263,0.14366806017228884,0.05597187800058708,0.18548447284971759,3.4049971696234036,0.5094615564675685,11.180369301223111,440175555,actual
